i_max,t_max,threads,time_sec
1000,8388608,1,18.550000
1000,8388608,1,18.480000
1000,8388608,1,18.550000
1000,8388608,2,39.340000
1000,8388608,2,50.610000
1000,8388608,2,41.710000
1000,8388608,4,76.640000
1000,8388608,4,60.700000
1000,8388608,4,65.060000
1000,8388608,6,83.330000
1000,8388608,6,97.470000
1000,8388608,6,94.520000
1000,8388608,8,121.750000
1000,8388608,8,124.830000
1000,8388608,8,125.150000
1000,8388608,12,174.870000
1000,8388608,12,172.960000
1000,8388608,12,179.790000
1000,8388608,14,200.200000
1000,8388608,14,201.230000
1000,8388608,14,200.640000
1000,8388608,16,220.060000
1000,8388608,16,222.730000
1000,8388608,16,224.870000
1000,8388608,32,413.660000
1000,8388608,32,410.590000
1000,8388608,32,438.390000
10000,1048576,1,18.010000
10000,1048576,1,18.050000
10000,1048576,1,18.010000
10000,1048576,2,17.190000
10000,1048576,2,17.000000
10000,1048576,2,16.970000
10000,1048576,4,14.530000
10000,1048576,4,14.850000
10000,1048576,4,14.900000
10000,1048576,6,16.000000
10000,1048576,6,15.580000
10000,1048576,6,15.720000
10000,1048576,8,18.200000
10000,1048576,8,17.140000
10000,1048576,8,18.290000
10000,1048576,12,22.880000
10000,1048576,12,23.500000
10000,1048576,12,22.610000
10000,1048576,14,26.770000
10000,1048576,14,26.570000
10000,1048576,14,27.190000
10000,1048576,16,29.750000
10000,1048576,16,29.130000
10000,1048576,16,29.420000
10000,1048576,32,55.170000
10000,1048576,32,54.270000
10000,1048576,32,54.120000
100000,65536,1,11.430000
100000,65536,1,11.420000
100000,65536,1,11.420000
100000,65536,2,6.790000
100000,65536,2,6.790000
100000,65536,2,6.650000
100000,65536,4,4.320000
100000,65536,4,4.300000
100000,65536,4,4.290000
100000,65536,6,3.660000
100000,65536,6,3.620000
100000,65536,6,3.670000
100000,65536,8,3.380000
100000,65536,8,3.370000
100000,65536,8,3.400000
100000,65536,12,3.250000
100000,65536,12,3.670000
100000,65536,12,3.280000
100000,65536,14,3.320000
100000,65536,14,3.470000
100000,65536,14,3.380000
100000,65536,16,3.710000
100000,65536,16,3.680000
100000,65536,16,3.700000
100000,65536,32,4.520000
100000,65536,32,4.530000
100000,65536,32,4.560000
1000000,8192,1,16.450000
1000000,8192,1,16.450000
1000000,8192,1,16.440000
1000000,8192,2,7.850000
1000000,8192,2,7.810000
1000000,8192,2,7.810000
1000000,8192,4,4.670000
1000000,8192,4,4.660000
1000000,8192,4,4.550000
1000000,8192,6,3.840000
1000000,8192,6,3.730000
1000000,8192,6,3.730000
1000000,8192,8,3.150000
1000000,8192,8,3.210000
1000000,8192,8,3.160000
1000000,8192,12,2.700000
1000000,8192,12,2.670000
1000000,8192,12,2.690000
1000000,8192,14,2.500000
1000000,8192,14,2.570000
1000000,8192,14,2.570000
1000000,8192,16,3.260000
1000000,8192,16,3.180000
1000000,8192,16,2.530000
1000000,8192,32,2.490000
1000000,8192,32,2.500000
1000000,8192,32,2.500000
10000000,8192,1,169.990000
10000000,8192,1,169.300000
10000000,8192,1,169.430000
10000000,8192,2,92.390000
10000000,8192,2,123.040000
10000000,8192,2,94.750000
10000000,8192,4,57.430000
10000000,8192,4,57.740000
10000000,8192,4,55.920000
10000000,8192,6,45.840000
10000000,8192,6,45.990000
10000000,8192,6,45.020000
10000000,8192,8,43.890000
10000000,8192,8,47.640000
10000000,8192,8,43.280000
10000000,8192,12,49.240000
10000000,8192,12,44.540000
10000000,8192,12,49.270000
10000000,8192,14,44.190000
10000000,8192,14,41.040000
10000000,8192,14,46.250000
10000000,8192,16,50.720000
10000000,8192,16,52.590000
10000000,8192,16,50.420000
10000000,8192,32,55.050000
10000000,8192,32,48.880000
10000000,8192,32,55.880000
